itemsets,count,support
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Housing', 'Groceries'})",19.0,0.0000002162
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",45.0,0.0000005122
"frozenset({'Clothing', 'Gambling', 'Education', 'Health', 'Housing', 'Groceries'})",10.0,0.0000001138
"frozenset({'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Tax'})",20.0,0.0000002276
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Gambling'})",13.0,0.0000001480
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Housing', 'Groceries'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Groceries'})",10.0,0.0000001138
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",25.0,0.0000002845
"frozenset({'Clothing', 'Health', 'Savings', 'Entertainment', 'Housing'})",277.0,0.0000031527
"frozenset({'Education', 'Health', 'Savings', 'Tax', 'Housing'})",54.0,0.0000006146
"frozenset({'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",33.0,0.0000003756
"frozenset({'Education', 'Health', 'Savings', 'Housing', 'Gambling'})",14.0,0.0000001593
"frozenset({'Bills and Utilities', 'Fines', 'Tax', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Education', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",39.0,0.0000004439
"frozenset({'Gambling', 'Education', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",21.0,0.0000002390
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Groceries'})",8.0,0.0000000911
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",91.0,0.0000010357
"frozenset({'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",11.0,0.0000001252
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",5.0,0.0000000569
"frozenset({'Gambling', 'Education', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",15.0,0.0000001707
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",10.0,0.0000001138
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing'})",64.0,0.0000007284
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",6.0,0.0000000683
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Gambling'})",43.0,0.0000004894
"frozenset({'Clothing', 'Health', 'Tax', 'Housing', 'Gambling'})",53.0,0.0000006032
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling'})",30.0,0.0000003414
"frozenset({'Clothing', 'Gambling', 'Health', 'Tax', 'Housing', 'Groceries'})",27.0,0.0000003073
"frozenset({'Tax', 'Housing', 'Fines', 'Bills and Utilities'})",14.0,0.0000001593
"frozenset({'Tax', 'Housing', 'Fines', 'Groceries'})",33.0,0.0000003756
"frozenset({'Education', 'Bills and Utilities', 'Savings', 'Housing', 'Gambling'})",13.0,0.0000001480
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Tax'})",11.0,0.0000001252
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Gambling', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",34.0,0.0000003870
"frozenset({'Clothing', 'Education', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",9.0,0.0000001024
"frozenset({'Clothing', 'Gambling', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries'})",7.0,0.0000000797
"frozenset({'Tax', 'Housing', 'Fines', 'Health'})",13.0,0.0000001480
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Gambling', 'Motor/Travel'})",35.0,0.0000003984
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Gambling'})",40.0,0.0000004553
"frozenset({'Clothing', 'Education', 'Fines', 'Entertainment', 'Motor/Travel'})",20.0,0.0000002276
"frozenset({'Clothing', 'Education', 'Fines', 'Motor/Travel', 'Groceries'})",12.0,0.0000001366
"frozenset({'Clothing', 'Fines', 'Savings', 'Motor/Travel', 'Groceries'})",5.0,0.0000000569
"frozenset({'Education', 'Fines', 'Health', 'Entertainment', 'Housing'})",4.0,0.0000000455
"frozenset({'Motor/Travel', 'Housing', 'Fines', 'Health'})",27.0,0.0000003073
"frozenset({'Education', 'Fines', 'Health', 'Entertainment', 'Tax'})",6.0,0.0000000683
"frozenset({'Education', 'Savings', 'Entertainment', 'Housing', 'Gambling'})",96.0,0.0000010926
"frozenset({'Education', 'Fines', 'Health', 'Tax', 'Housing'})",1.0,0.0000000114
"frozenset({'Housing', 'Fines', 'Groceries'})",323.0,0.0000036762
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Groceries'})",24.0,0.0000002732
"frozenset({'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",65.0,0.0000007398
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Motor/Travel'})",17.0,0.0000001935
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Tax'})",11.0,0.0000001252
"frozenset({'Education', 'Fines', 'Entertainment', 'Housing', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Tax', 'Groceries'})",15.0,0.0000001707
"frozenset({'Motor/Travel', 'Housing', 'Fines', 'Groceries'})",85.0,0.0000009674
"frozenset({'Tax', 'Housing', 'Entertainment', 'Fines'})",67.0,0.0000007626
"frozenset({'Fines', 'Health', 'Motor/Travel', 'Housing', 'Groceries'})",10.0,0.0000001138
"frozenset({'Clothing', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",16.0,0.0000001821
"frozenset({'Housing', 'Fines', 'Education'})",52.0,0.0000005918
"frozenset({'Tax', 'Fines', 'Education'})",92.0,0.0000010471
"frozenset({'Fines', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",59.0,0.0000006715
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Housing'})",71.0,0.0000008081
"frozenset({'Housing', 'Fines', 'Health'})",109.0,0.0000012406
"frozenset({'Motor/Travel', 'Fines', 'Gambling', 'Bills and Utilities'})",50.0,0.0000005691
"frozenset({'Motor/Travel', 'Fines', 'Clothing', 'Education'})",27.0,0.0000003073
"frozenset({'Entertainment', 'Housing', 'Fines', 'Education'})",39.0,0.0000004439
"frozenset({'Tax', 'Entertainment', 'Fines', 'Education'})",65.0,0.0000007398
"frozenset({'Housing', 'Fines', 'Health', 'Education'})",5.0,0.0000000569
"frozenset({'Tax', 'Fines', 'Health', 'Education'})",8.0,0.0000000911
"frozenset({'Tax', 'Housing', 'Fines', 'Education'})",9.0,0.0000001024
"frozenset({'Entertainment', 'Housing', 'Fines', 'Groceries'})",220.0,0.0000025039
"frozenset({'Gambling', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",19012.0,0.0002163857
"frozenset({'Entertainment', 'Housing', 'Fines', 'Health'})",76.0,0.0000008650
"frozenset({'Housing', 'Fines', 'Health', 'Groceries'})",38.0,0.0000004325
"frozenset({'Clothing', 'Gambling', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",40.0,0.0000004553
"frozenset({'Gambling', 'Education', 'Health', 'Motor/Travel', 'Groceries'})",1002.0,0.0000114043
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Groceries'})",12.0,0.0000001366
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Groceries'})",35.0,0.0000003984
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Motor/Travel'})",30.0,0.0000003414
"frozenset({'Bills and Utilities', 'Fines', 'Motor/Travel', 'Housing', 'Groceries'})",12.0,0.0000001366
"frozenset({'Clothing', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",137.0,0.0000015593
"frozenset({'Fines', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",16.0,0.0000001821
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Tax', 'Groceries'})",36.0,0.0000004097
"frozenset({'Gambling', 'Education', 'Entertainment', 'Groceries', 'Motor/Travel'})",8916.0,0.0001014777
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Tax', 'Gambling'})",83.0,0.0000009447
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Motor/Travel', 'Groceries', 'Tax'})",119.0,0.0000013544
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",8.0,0.0000000911
"frozenset({'Clothing', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",98.0,0.0000011154
"frozenset({'Clothing', 'Gambling', 'Health', 'Motor/Travel', 'Housing', 'Groceries'})",53.0,0.0000006032
"frozenset({'Clothing', 'Gambling', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",54.0,0.0000006146
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",91.0,0.0000010357
"frozenset({'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",44.0,0.0000005008
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",51.0,0.0000005805
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Groceries'})",3022.0,0.0000343950
"frozenset({'Tax', 'Fines', 'Groceries', 'Savings'})",19.0,0.0000002162
"frozenset({'Education', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",16819.0,0.0001914260
"frozenset({'Motor/Travel', 'Fines', 'Education', 'Tax'})",21.0,0.0000002390
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",57.0,0.0000006487
"frozenset({'Clothing', 'Education', 'Fines', 'Entertainment', 'Groceries', 'Motor/Travel'})",7.0,0.0000000797
"frozenset({'Clothing', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Education', 'Fines', 'Health', 'Entertainment', 'Housing', 'Tax'})",1.0,0.0000000114
"frozenset({'Gambling', 'Education', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",32.0,0.0000003642
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",9.0,0.0000001024
"frozenset({'Health', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",57.0,0.0000006487
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",10.0,0.0000001138
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",6.0,0.0000000683
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",9.0,0.0000001024
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",40.0,0.0000004553
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",5.0,0.0000000569
"frozenset({'Housing', 'Fines', 'Bills and Utilities'})",129.0,0.0000014682
"frozenset({'Entertainment', 'Housing', 'Fines', 'Bills and Utilities'})",92.0,0.0000010471
"frozenset({'Housing', 'Fines', 'Groceries', 'Bills and Utilities'})",51.0,0.0000005805
"frozenset({'Motor/Travel', 'Housing', 'Fines', 'Bills and Utilities'})",40.0,0.0000004553
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Gambling'})",1002.0,0.0000114043
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Tax'})",29.0,0.0000003301
"frozenset({'Education', 'Bills and Utilities', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",199.0,0.0000022649
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Gambling'})",32.0,0.0000003642
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Housing'})",71.0,0.0000008081
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries'})",8840.0,0.0001006127
"frozenset({'Fines', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Entertainment', 'Gambling', 'Motor/Travel'})",2858.0,0.0000325284
"frozenset({'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",114.0,0.0000012975
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Entertainment', 'Groceries'})",4369.0,0.0000497259
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries'})",35.0,0.0000003984
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Tax'})",12.0,0.0000001366
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Groceries'})",8.0,0.0000000911
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",16.0,0.0000001821
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",3.0,0.0000000341
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Tax'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",4.0,0.0000000455
"frozenset({'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",8.0,0.0000000911
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Groceries', 'Tax'})",10.0,0.0000001138
"frozenset({'Education', 'Health', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",9.0,0.0000001024
"frozenset({'Education', 'Bills and Utilities', 'Entertainment', 'Groceries', 'Motor/Travel'})",23878.0,0.0002717682
"frozenset({'Gambling', 'Education', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",24.0,0.0000002732
"frozenset({'Gambling', 'Education', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",12.0,0.0000001366
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",9.0,0.0000001024
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Tax', 'Housing', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Gambling'})",356.0,0.0000040518
"frozenset({'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",6.0,0.0000000683
"frozenset({'Education', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",8.0,0.0000000911
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Motor/Travel', 'Groceries'})",1498.0,0.0000170495
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Groceries'})",533.0,0.0000060664
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Bills and Utilities', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",139.0,0.0000015820
"frozenset({'Gambling', 'Bills and Utilities', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",75.0,0.0000008536
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Tax', 'Housing', 'Groceries'})",11.0,0.0000001252
"frozenset({'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",13.0,0.0000001480
"frozenset({'Clothing', 'Gambling', 'Education', 'Tax', 'Housing', 'Groceries'})",10.0,0.0000001138
"frozenset({'Education', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",44.0,0.0000005008
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Motor/Travel'})",5657.0,0.0000643853
"frozenset({'Gambling', 'Education', 'Health', 'Tax', 'Housing', 'Groceries'})",6.0,0.0000000683
"frozenset({'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Tax'})",16.0,0.0000001821
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Groceries'})",2973.0,0.0000338373
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Tax', 'Housing', 'Groceries'})",18.0,0.0000002049
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",8.0,0.0000000911
"frozenset({'Education', 'Fines', 'Entertainment', 'Housing', 'Groceries'})",13.0,0.0000001480
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel'})",16.0,0.0000001821
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Groceries'})",10.0,0.0000001138
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Gambling'})",11.0,0.0000001252
"frozenset({'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",6.0,0.0000000683
"frozenset({'Gambling', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",22.0,0.0000002504
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel'})",9.0,0.0000001024
"frozenset({'Gambling', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",49.0,0.0000005577
"frozenset({'Gambling', 'Education', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Education', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",7.0,0.0000000797
"frozenset({'Gambling', 'Education', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",18.0,0.0000002049
"frozenset({'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",5.0,0.0000000569
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Gambling', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",16.0,0.0000001821
"frozenset({'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",3.0,0.0000000341
"frozenset({'Education', 'Fines', 'Savings', 'Bills and Utilities'})",9.0,0.0000001024
"frozenset({'Tax', 'Fines', 'Savings', 'Bills and Utilities'})",8.0,0.0000000911
"frozenset({'Tax', 'Fines', 'Savings', 'Education'})",5.0,0.0000000569
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Tax', 'Groceries'})",10.0,0.0000001138
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Groceries'})",13.0,0.0000001480
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Tax', 'Education', 'Fines', 'Bills and Utilities'})",23.0,0.0000002618
"frozenset({'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",11.0,0.0000001252
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",8.0,0.0000000911
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Tax', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Education', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",19.0,0.0000002162
"frozenset({'Clothing', 'Gambling', 'Education', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",8.0,0.0000000911
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",15.0,0.0000001707
"frozenset({'Gambling', 'Education', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",8.0,0.0000000911
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",14.0,0.0000001593
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",2.0,0.0000000228
